name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
alexander-mattison,23,2,16,2.0,2.0615528128088303,2.4375,2.3443749166888814,14.25,17.62632973707232,5.7375,6.855643204689112,8.0625,8.451839666605135,0.0625,0.24206145913796356,8.375,8.313204857333902,30.6875,37.45950939014018,2.9,1.3955285736952863,10.375,11.477559627377241,0.1875,0.3903123748998999,6.5,144.0,2
christian-mccaffrey,25,4,7,5.285714285714286,3.3685217493004562,5.857142857142857,3.1815796359028696,49.0,29.980946330246862,8.014285714285714,4.430874976934521,17.857142857142858,10.245954901166348,0.14285714285714285,0.3499271061118826,14.142857142857142,5.742786069211937,63.142857142857146,24.71222121847853,4.642857142857143,1.3937176828869744,14.142857142857142,2.799416848895061,0.14285714285714285,0.34992710611188266,6.8,2.0,1
rhamondre-stevenson,23,0,12,1.1666666666666667,1.2133516482134197,1.5,1.3844373104863459,10.25,14.589522496184262,5.375,6.32826002942357,8.083333333333334,11.571936839709341,0.0,0.0,11.083333333333334,6.550551291473277,50.5,31.412577098990145,4.591666666666666,1.7797276633113155,12.666666666666666,4.988876515698588,0.4166666666666667,0.7592027982620249,3.4,87.0,3
clyde-edwards-helaire,22,1,10,1.9,0.9433981132056605,2.3,1.1,11.8,9.846826900072937,5.62,3.8519605397771146,9.9,7.8670197660867744,0.2,0.4000000000000001,11.9,2.913760456866693,51.7,27.95728885281976,4.119999999999999,1.5091719583930785,10.2,3.4292856398964493,0.4,0.66332495807108,3.4,72.0,3
kenneth-gainwell,22,0,16,2.0625,1.8529958850466992,3.125,2.6427968139832467,15.8125,17.32851245058271,5.39375,4.2169996368863965,8.125,6.283659363778403,0.0625,0.24206145913796356,4.25,4.562071897723665,18.1875,21.898112789690348,3.2375,2.914377077524458,6.4375,5.915749635506899,0.3125,0.46351240544347894,10.1,200.0,2
jamaal-williams,26,4,13,2.0,2.253202848596432,2.1538461538461537,2.4446536280108777,12.076923076923077,15.30943167543629,4.184615384615385,4.3132793438664345,5.538461538461538,5.314933744653754,0.0,0.0,11.76923076923077,4.041207857404214,46.23076923076923,21.740263412719678,3.792307692307692,1.142508399875897,11.538461538461538,4.567702412093392,0.23076923076923078,0.4213250442347432,4.7,209.0,4
miles-sanders,24,2,12,2.1666666666666665,1.4043582955293932,2.8333333333333335,1.4043582955293932,13.166666666666666,13.722447141656463,4.616666666666667,4.324702944198082,8.833333333333334,8.56186635936088,0.0,0.0,11.416666666666666,5.823205493731285,62.833333333333336,34.8827400809563,5.958333333333335,2.6803166272331005,20.916666666666668,9.543395039968159,0.0,0.0,6.9,88.0,3
kareem-hunt,25,4,8,2.75,1.8540496217739157,3.375,2.057759704144291,21.75,21.98152633462927,6.025,3.762230056761548,9.875,7.523920188306094,0.0,0.0,9.75,4.085033659592048,48.25,24.722206616724165,4.7,1.624807680927192,16.375,9.366662959667119,0.625,0.6959705453537527,5.2,99.0,2
mark-ingram,31,10,14,1.9285714285714286,1.8694646183289143,2.5,2.412763679150648,11.571428571428571,16.893423427536554,3.3000000000000003,4.979672966886767,6.357142857142857,9.692464988382492,0.0,0.0,11.428571428571429,5.960756012864304,39.57142857142857,25.064813942241496,3.4499999999999997,1.1764049351429002,11.285714285714286,6.540298938434056,0.14285714285714285,0.34992710611188266,6.9,162.0,4
nyheim-hines,24,3,17,2.3529411764705883,1.7129670327718864,3.3529411764705883,2.027492698778128,18.235294117647058,15.839375402735707,6.776470588235294,4.606073919838598,9.941176470588236,9.058441550388196,0.058823529411764705,0.23529411764705885,3.2941176470588234,2.5842214866457405,16.235294117647058,17.751650832146176,4.141176470588236,2.9876331028246135,8.235294117647058,7.840538785243434,0.11764705882352941,0.32218973970892123,10.9,143.0,2
donta-foreman,25,3,9,1.0,0.816496580927726,1.2222222222222223,1.0304020550550783,13.666666666666666,15.040685563571305,8.666666666666666,8.14793770772021,11.222222222222221,11.97940619728316,0.0,0.0,14.777777777777779,7.0044077833219935,62.888888888888886,40.82331698767927,4.066666666666666,1.2918548250050734,15.88888888888889,9.859506911768452,0.3333333333333333,0.4714045207910317,2.1,193.0,3
khalil-herbert,23,0,16,0.875,1.4086784586980805,1.0,1.5811388300841898,6.0,11.40175425099138,2.5875,4.2893581979125965,4.0,6.314665470157545,0.0,0.0,6.4375,7.7376413557362556,27.0625,35.095350030310286,3.16875,2.607373858406193,9.0625,9.30368710512128,0.125,0.33071891388307384,3.0,196.0,3
